日期,證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,漲跌幅%
1150706,2514,龍邦,99220,1308479,13.15,13.25,13.05,13.15,0.0,106,0.0
1150706,2515,中工,12747369,181269843,14.5,14.5,14.0,14.25,-0.05,3658,-0.34965034965034963
1150706,2516,新建,391228,5432674,14.1,14.1,13.8,14.0,-0.1,96,-0.7092198581560284
1150706,2520,冠德,1863035,65553690,35.0,35.45,34.55,35.25,0.4,1241,1.1477761836441895
1150706,2524,京城,56079,2042786,36.85,36.9,36.25,36.4,-0.3,56,-0.8174386920980927
1150706,2527,宏璟,1201608,51180318,41.6,43.4,41.55,42.6,1.4,886,3.3980582524271843
1150706,2528,皇普,262397,5960229,22.7,23.05,22.5,22.55,-0.25,204,-1.0964912280701753
1150706,2530,華建,544053,10692639,19.5,19.85,19.4,19.65,0.25,355,1.288659793814433
1150706,2534,宏盛,1213472,20796528,17.2,17.3,17.0,17.15,0.05,413,0.29239766081871355
1150706,2535,達欣工,288617,25907143,89.7,90.2,89.0,90.0,0.7,396,0.7838745800671892
1150706,2536,宏普,4395934,95104496,21.6,21.8,21.55,21.6,0.15,1047,0.6993006993006992
1150706,2537,聯上發,1571590,17775128,11.3,11.5,11.15,11.2,0.0,544,0.0
1150706,2538,基泰,254032,2537436,10.0,10.0,9.94,9.97,0.0,167,0.0
1150706,2539,櫻花建,961631,38052575,39.3,39.8,39.1,39.7,0.4,625,1.0178117048346056
1150706,2540,愛山林,385584,20805339,54.0,54.4,53.6,53.8,0.1,402,0.18621973929236502
1150706,2542,興富發,13191494,588304161,43.8,45.0,43.7,45.0,1.35,6091,3.0927835051546397
1150706,2543,皇昌,801300,31740093,40.2,40.35,39.15,39.45,0.25,929,0.6377551020408162
1150706,2545,皇翔,668372,26005770,38.9,39.2,38.65,38.8,0.15,588,0.38809831824062097
1150706,2546,根基,67102,6359892,95.1,95.1,94.5,94.9,-0.3,334,-0.31512605042016806
